id;Sentiment;Text Tweet;user
1;Negative;ptm 50% gaenak Ya Allah :(;sambattonly
2;Positife;enakan ptm;formetawinn
3;Positife;Ya Allah ketemu ginian lagi, ya kalo sekolahnya pjj ya udah pjj, kalo sekolahnya ptm yaudah ptm dah. Gw sih tim ptm \n\nKatanya kita harus hidup berdampingan dengan virus, mau ga mau hidup atau ngga ya tetep ae hidup berjalan ngalir';tmnRLgbolehtau
4;Positife;enak msi ptm;parkgaeul_02
5;Positife;semangat ptm nya nia;bluexngrey
6;Positife;ini serius gua pjj lagi? AAA PADAHAL PTM LEBIH ENAKK MATERINYA GAMPANG MASUKKK;anjaimey
7;Positife;b'@ygearlert nooo ptm asik';guitarxs
8;Negative;ptm 100 persen bikin capek;echanufe
9;Positife;b'RT @inahstudy: @schfess lebih suka ptm.. :( kirain bener yg katanya virus itu harus dinormalisasikan... :((( gamau pjj soalnya banyak kecurangan;natabe_loey
10;Positife;duh gaenak bgt pjj udh pw ptm tiap hari;liveurrIife
11;Positife;padahal rutin ptm ngatur anxiety gue banget banget tapi yaudala. stay safe ya semua;januaryblessed
12;Negative;Universitas Brawijaya (UB) Malang berencana mengurangi kuota mahasiswa yang mengikuti pembelajaran tatap muka (PTM) menjadi 25 persen;tempodotco
13;Positife;Padahal pas ptm santay bgt;mtchgrnx
14;Positife;semangat ptm nya chaa;bluexngrey
15;Negative;ptm aja kaga paham apa2, aplgi pjj yg tidur doang;jyancuks
16;Positife;Bnerrr enakan ptm;jnghwnuna_
17;Positife;Sebenarnya mah klo gada kasus meninggal yaa terobos aj sih PTM, org klo di PJJ juga pada keluyuran main sana sini;jnghwnuna_
18;Positife; aku ptm uda dari novemberrr;cloupssy
19;Negative;Sebenernya ptm udah cukup efektif bgttt, gue jga udah nyaman ptm... tapi kalo liat kyk gini mending pjj sihhh, serem;urpussyisgod
20;Negative; Aku suka ptm, tapi kalau situasinya kek gini gapapa deh pjj lagi, yang penting sehat seenggaknya sampe hari utb;urpussyisgod
